logA,logB,ccheu,ccind,ccdcr,ccfreq,ccdur,cctime
wandering_100_00_2.xes,wandering_100_04_2.xes,N/A,0.9434720744475369,N/A,N/A,N/A,N/A
Wandering token replay with log_fitness,,,,,,,
wandering_100_00.xes,wandering_100_00.xes,0.8714695557882596,1,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_01.xes,0.8565173547975777,0.970595346,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_02.xes,0.8524226120433771,0.9568188675879096,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_03.xes,0.8370257754561417,0.9508251905573376,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_04.xes,0.8398703207455867,0.9512941381607449,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_05.xes,0.8363605159711509,0.9509803122435023,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_06.xes,0.8363589424907043,0.9503114497981294,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_07.xes,0.8365949565494892,0.9491763878573669,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_08.xes,0.8396624062873848,0.9503621197187379,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_09.xes,0.835644904,0.9496585236760811,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_00.xes,0.9870576615158607,1,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_01.xes,0.9104611295096374,0.9332303762094298,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_02.xes,0.8556491904423333,0.8886808,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_03.xes,0.7891692804871581,0.8121590373256675,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_04.xes,0.7641612485815041,0.7967974547699446,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_05.xes,0.7370206766201084,0.7483954349684967,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_06.xes,0.6880197030631682,0.7252163752045919,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_07.xes,0.7272686031242415,0.7253213982778494,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_08.xes,0.6594113938466686,0.6747076367857731,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_09.xes,0.6483566729692938,0.6695274332523711,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_010.xes,0.6321488167770077,0.6517870573209228,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_01.xes,0.91,0.93,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_02.xes,0.85,0.88,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_03.xes,0.78,0.83,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_04.xes,0.74,0.79,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_05.xes,0.68,0.71,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_06.xes,0.57,0.61,N/A,N/A,N/A,N/A
Wandering token replay with average_trace_fitness,,,,,,,
wandering_100_00.xes,wandering_100_00.xes,0.8714695557882596,1,1,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_01.xes,0.8565173547975777,0.9706740793044804,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_02.xes,0.8524226120433771,0.957004921,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_03.xes,0.8370257754561417,0.9508394973193074,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_04.xes,0.8398988953717612,0.9512941381607449,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_05.xes,0.8363605159711509,0.9510700904309576,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_06.xes,0.8367002394638637,0.9503465928343184,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_07.xes,0.8365949565494892,0.9493360604276353,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_08.xes,0.8396624062873848,0.9504393934968911,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_09.xes,0.835644904,0.9496585236760811,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_010.xes,0.8371882227697014,0.9503331083353912,0,N/A,N/A,N/A
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_0.xes,0.9637096774193549,1,1,0.8243711272727273,1,1
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_1.xes,0.9105505917698005,0.9564821336207994,0,0.7862002090909089,1,0.6470588235294118
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_2.xes,0.8750894430816977,0.9198071037241766,0,0.752140718,1,0.5789473684210527
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_3.xes,0.815053885,0.850362835,0,0.7001933727272727,1,0.3283582089552239
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_4.xes,0.7787284678072326,0.821537699,0,0.6553588590909091,1,0.4
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_5.xes,0.7633403173054601,0.789279363,0,0.5912659818181819,1,0.25287356321839083
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_6.xes,0.718592125,0.7350079231642833,0,0.5439671909090908,1,0.16541353383458646
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_7.xes,0.660530089,0.679320459,0,0.44969934545454543,1,0.08627451
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_8.xes,0.6190792877354061,0.6384929098182563,0,0.3978922136363636,1,0.069400631
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_9.xes,0.562418784,0.5789444359816672,0,0.29738381363636357,1,0.046952037422347374
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_10.xes,0.6045884322294581,0.6056675893024618,0,0.22798762727272723,1,0.036854762
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_0.xes,0.96,1,1,0.8243711272727273,1,1
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_1.xes,0.91,0.96,0,0.7862002090909089,1,0.6470588235294118
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_2.xes,0.88,0.92,0,0.752140718,1,0.5789473684210527
